Artikelnr;acc_name;Gesamtnr;row;ausg_nr;beznr_komm;relative_date;text
12;Skeptiker;1;1;1;9999;2015-11-20 00:30;
12;Tja;2;2;1;1;2015-11-20 00:31;
12;200 000 sind viel zu viel;3;3;2;2;2015-11-20 00:32;
12;Meinungsfreiheit;4;4;3;3;2015-11-20 00:33;
12;Franzi;5;3;2;2;2015-11-20 00:34;
12;Julia_1;6;2;1;1;2015-11-20 00:35;
12;NewOrder;7;2;1;1;2015-11-20 00:36;
12;grünes touret;8;2;1;1;2015-11-20 00:37;
12;Albert Pike;9;2;1;1;2015-11-20 00:38;
12;NWJ;10;2;1;1;2015-11-20 00:39;
12;Tanabor;11;2;1;1;2015-11-20 00:40;
12;;12;1;12;9999;2015-11-20 00:41;
12;Skeptiker;13;2;12;12;2015-11-20 00:42;
12;;14;1;14;9999;2015-11-20 00:43;
12;Alles relativ;15;2;14;14;2015-11-20 00:44;
12;Meinungsfreiheit;16;3;15;15;2015-11-20 00:45;
12;Gnom;17;1;17;9999;2015-11-20 00:46;
12;Johann Wender;18;1;18;9999;2015-11-20 00:47;
12;Frank in ZA;19;2;18;18;2015-11-20 00:48;
12;Tja;20;3;19;19;2015-11-20 00:49;
12;karlehmann;21;2;18;18;2015-11-20 00:50;
12;Micha;22;2;18;18;2015-11-20 00:51;
12;Albert Pike;23;2;18;18;2015-11-20 00:52;
12;CobraCommander;24;1;24;9999;2015-11-20 00:53;
12;Bert Müller;25;1;25;9999;2015-11-20 00:54;
12;Tom;26;1;26;9999;2015-11-20 00:55;
12;Chaos2016;27;2;26;26;2015-11-20 00:56;
12;Mulla;28;1;28;9999;2015-11-20 00:57;
12;Nordlandtyp;29;1;29;9999;2015-11-20 00:58;
12;DiSo;30;1;30;9999;2015-11-20 00:59;
12;Ichbins;31;2;30;30;2015-11-20 01:00;
12;Scherzbold;32;1;32;9999;2015-11-20 01:01;
12;Hoarst;33;1;33;9999;2015-11-20 01:02;
12;Fremersberg;34;1;34;9999;2015-11-20 01:03;
12;A.C.Hauser;35;2;34;34;2015-11-20 01:04;
12;Chaos2016;36;2;34;34;2015-11-20 01:05;
12;Indy13;37;1;37;9999;2015-11-20 01:06;
12;LulliLalli;38;1;38;9999;2015-11-20 01:07;
12;Fragezeichen;39;1;39;9999;2015-11-20 01:08;
12;Jacobus;40;1;40;9999;2015-11-20 01:09;
12;sofortneuwahlen;41;1;41;9999;2015-11-20 01:10;
12;Hallo;42;1;42;9999;2015-11-20 01:11;
12;Max Powers;43;1;43;9999;2015-11-20 01:12;
12;So_nicht;44;1;44;9999;2015-11-20 01:13;
12;Platon53;45;2;44;44;2015-11-20 01:14;
12;Guest;46;1;46;9999;2015-11-20 01:15;
12;karlehmann;47;1;47;9999;2015-11-20 01:16;
12;Grüne IdeenFabrik..........;48;1;48;9999;2015-11-20 01:17;
12;erwin z;49;1;49;9999;2015-11-20 01:18;
12;GER;50;1;50;9999;2015-11-20 01:19;
12;Wolfgang Krause;51;1;51;9999;2015-11-20 01:20;
12;Tababor;52;1;52;9999;2015-11-20 01:21;
12;links_rechts;53;1;53;9999;2015-11-20 01:22;
12;Platon53;54;2;53;53;2015-11-20 01:23;
12;Franzi;55;1;55;9999;2015-11-20 01:24;
12;Jan Müller;56;1;56;9999;2015-11-20 01:25;
12;Jürgen Mader;57;1;57;9999;2015-11-20 01:26;
12;Zahlenknecht;58;1;58;9999;2015-11-20 01:27;
12;Johanna Lens;59;1;59;9999;2015-11-20 01:28;
12;SigismundRuestig;60;1;60;9999;2015-11-20 01:29;
12;Wertemensch;61;1;61;9999;2015-11-20 01:30;
12;ToBi;62;1;62;9999;2015-11-20 01:31;
12;Karl Martell;63;1;63;9999;2015-11-20 01:32;
