Artikelnr;acc_name;Gesamtnr;row;ausg_nr;beznr_komm;relative_date;quality;row_two;ukey
6;WurzelElement;666666;0;0;999;2015-11-20 00:29;100;2;0
6;freddy.w.;1;1;1;9999;2015-11-20 00:30;7;3;1845
6;Extertal1;2;2;1;1;2015-11-20 00:31;0;4;1846
6;freddy.w.;3;3;2;2;2015-11-20 00:32;10;5;1847
6;Extertal1;4;4;3;3;2015-11-20 00:33;1;6;1848
6;Heinrich Franke1;5;5;4;4;2015-11-20 00:34;0;7;1849
6;Schnolfi;6;6;5;5;2015-11-20 00:35;22;8;1850
6;Schnolfi;7;5;4;4;2015-11-20 00:36;22;7;1851
6;Frank T.;8;4;3;3;2015-11-20 00:37;1;6;1852
6;Maturin;9;5;8;8;2015-11-20 00:38;0;7;1853
6;freddy.w.;10;5;8;8;2015-11-20 00:39;3;7;1854
6;Schnolfi;11;5;8;8;2015-11-20 00:40;10;7;1855
6;Schnolfi;12;2;1;1;2015-11-20 00:41;0;4;1856
6;hitrez#1;13;3;12;12;2015-11-20 00:42;22;5;1857
6;SigismundRuestig;14;1;14;9999;2015-11-20 00:43;7;3;1858
6;Extertal1;15;2;14;14;2015-11-20 00:44;7;4;1859
6;Monart;16;1;16;9999;2015-11-20 00:45;7;3;1860
6;josef2396;17;1;17;9999;2015-11-20 00:46;21;3;1861
6;porsche13;18;2;17;17;2015-11-20 00:47;8;4;1862
6;josef2396;19;3;18;18;2015-11-20 00:48;17;5;1863
6;porsche13;20;4;19;19;2015-11-20 00:49;8;6;1864
6;Maturin;21;5;20;20;2015-11-20 00:50;0;7;1865
6;FreieGedanken;22;3;18;18;2015-11-20 00:51;18;5;1866
6;porsche13;23;4;22;22;2015-11-20 00:52;7;6;1867
6;Veritas11;24;3;18;18;2015-11-20 00:53;7;5;1868
6;porsche13;25;4;24;24;2015-11-20 00:54;0;6;1869
6;ostbahnhansi;26;3;18;18;2015-11-20 00:55;7;5;1870
6;Frank T.;27;2;17;17;2015-11-20 00:56;7;4;1871
6;Lauris;28;2;17;17;2015-11-20 00:57;10;4;1872
6;Schnolfi;29;2;17;17;2015-11-20 00:58;7;4;1873
6;Extertal1;30;1;30;9999;2015-11-20 00:59;7;3;1874
6;Peter13;31;2;30;30;2015-11-20 01:00;0;4;1875
