Artikelnr;acc_name;Gesamtnr;row;ausg_nr;beznr_komm;relative_date;color;quality;row_two;ukey
10;WurzelElement;101010;0;0;999;2016-01-03 18:01;#40FF13;1001;2;0
10;Wilfried Schultz;1;1;1;9999;2016-01-03 18:01;#40FF13;7;3;3442
10;wittsiepe;2;1;2;9999;2016-01-03 18:07;#40FF13;21;3;3443
10;JohnD;3;1;3;9999;2016-01-03 18:08;#40FF13;7;3;3444
10;Peperoni;4;1;4;9999;2016-01-03 18:09;#40FF13;7;3;3445
10;Winterwind;5;1;5;9999;2016-01-04 11:57;#40FF13;14;3;3446
10;Winfried Schultz;6;1;6;9999;2016-01-04 13:35;#40FF13;7;3;3447
10;wal77;7;1;7;9999;2016-01-04 15:26;#40FF13;14;3;3448
10;Meinungsfreiheit2015;8;1;8;9999;2016-01-04 15:30;#40FF13;7;3;3449
16;WurzelElement;161616;0;0;999;2016-01-04 06:36;#E8DE12;1001;2;0
16;LieschenM;10001;1;1;19999;2016-01-04 06:36;#E8DE12;14;3;4447
16;Hedonius;10002;1;2;19999;2016-01-04 09:31;#E8DE12;7;3;4448
16;Bannany;10003;1;3;19999;2016-01-04 10:10;#E8DE12;14;3;4449
16;Meinungsfreiheit2015;10004;1;4;19999;2016-01-04 10:27;#E8DE12;21;3;4450
16;Winterwind;10005;1;5;19999;2016-01-04 12:17;#E8DE12;14;3;4451
16;Hedonius;10006;2;5;10005;2016-01-04 12:17;#E8DE12;15;4;4452
16;Winterwind;10007;3;6;10006;2016-01-04 12:52;#E8DE12;11;5;4453
16;Hedonius;10008;4;7;10007;2016-01-04 13:13;#E8DE12;18;6;4454
16;Winterwind;10009;5;8;10008;2016-01-04 13:55;#E8DE12;7;7;4455
17;WurzelElement;171717;0;0;999;2016-01-04 11:44;#79A4FF;1001;2;0
17;Naturbund;20001;1;1;29999;2016-01-04 11:44;#79A4FF;7;3;4457
26;WurzelElement;262626;0;0;999;2016-07-09 09:13;#FF9417;1001;2;0
26;duesseldorfer_Senf;30001;1;1;39999;2016-07-09 09:13;#FF9417;7;3;5408
26;deti1970;30002;1;2;39999;2016-07-09 09:23;#FF9417;7;3;5409
26;H-G-N;30003;1;3;39999;2016-07-09 11:46;#FF9417;14;3;5410
26;arsnova;30004;1;4;39999;2016-07-09 11:57;#FF9417;0;3;5411
26;Nordwind;30005;1;5;39999;2016-07-09 13:11;#FF9417;14;3;5412
26;spreegurken_gegner;30006;1;6;39999;2016-07-10 08:03;#FF9417;14;3;5413
26;Ichbines1;30007;1;7;39999;2016-07-10 08:50;#FF9417;14;3;5414
32;WurzelElement;323232;0;0;999;2016-11-24 15:49;#E82919;1001;2;0
32;roki-68;40001;1;1;49999;2016-11-24 15:49;#E82919;7;3;6039
32;so_ist_es;40002;1;2;49999;2016-11-24 16:11;#E82919;21;3;6040
32;MyWay53;40003;1;3;49999;2016-11-24 16:56;#E82919;7;3;6041
32;RotGruenerMoneyMacher;40004;1;4;49999;2016-11-24 17:01;#E82919;21;3;6042
32;LangeHeinrich;40005;1;5;49999;2016-11-24 17:03;#E82919;0;3;6043
32;Schnurzelchen;40006;1;6;49999;2016-11-24 17:09;#E82919;7;3;6044
32;Kizfonis;40007;1;7;49999;2016-11-24 17:11;#E82919;7;3;6045
32;DonEsteban;40008;1;8;49999;2016-11-24 17:25;#E82919;7;3;6046
32;Schnurzelchen;40009;2;8;40008;2016-11-24 17:25;#E82919;8;4;6047
32;arsnova;40010;1;10;49999;2016-11-24 18:03;#E82919;14;3;6048
32;noname_1;40011;1;11;49999;2016-11-24 18:13;#E82919;0;3;6049
32;so_ist_es;40012;2;8;40008;2016-11-24 17:25;#E82919;0;4;6050
32;B.Bitter;40013;1;13;49999;2016-11-24 18:57;#E82919;14;3;6051
32;hgh111149;40014;1;14;49999;2016-11-24 20:12;#E82919;14;3;6052
32;simronu;40015;1;15;49999;2016-11-24 23:20;#E82919;21;3;6053
