Artikelnr;acc_name;Gesamtnr;row;ausg_nr;beznr_komm;relative_date;color
8;Felix Wirsch;1;1;1;9999;2015-11-20 00:30;#40FF13
8;Tom Tomsen;2;2;1;1;2015-11-20 00:31;#40FF13
8;CDU & SPD unwählbar;3;3;2;2;2015-11-20 00:32;#40FF13
8;Richtiglieger;4;4;3;3;2015-11-20 00:33;#40FF13
8;Charly Autumn;5;5;4;4;2015-11-20 00:34;#40FF13
8;Tom Tomsen;6;5;4;4;2015-11-20 00:35;#40FF13
8;summer4ever;7;5;4;4;2015-11-20 00:36;#40FF13
8;humabuse;8;5;4;4;2015-11-20 00:37;#40FF13
8;Moanst;9;5;4;4;2015-11-20 00:38;#40FF13
8;Ron;10;5;4;4;2015-11-20 00:39;#40FF13
8;Chrismed;11;5;4;4;2015-11-20 00:40;#40FF13
8;frederic;12;5;4;4;2015-11-20 00:41;#40FF13
8;Nachdenken über Deutschland;13;4;3;3;2015-11-20 00:42;#40FF13
8;Michael M.;14;5;13;13;2015-11-20 00:43;#40FF13
8;Waltraud Winter;15;6;14;14;2015-11-20 00:44;#40FF13
8;ichsagmal;16;7;15;15;2015-11-20 00:45;#40FF13
8;clev.ever;17;7;15;15;2015-11-20 00:46;#40FF13
8;verum dicere;18;7;15;15;2015-11-20 00:47;#40FF13
8;Steuerzahler;19;5;13;13;2015-11-20 00:48;#40FF13
8;verum dicere;20;5;13;13;2015-11-20 00:49;#40FF13
8;ja ja;21;2;1;1;2015-11-20 00:50;#40FF13
8;Julia_1;22;3;21;21;2015-11-20 00:51;#40FF13
8;Klaus Meyer;23;4;22;22;2015-11-20 00:52;#40FF13
8;Postman23;24;3;21;21;2015-11-20 00:53;#40FF13
8;Herbert Frahm jr.;25;2;1;1;2015-11-20 00:54;#40FF13
8;Easyoil11;26;3;25;25;2015-11-20 00:55;#40FF13
8;Gaby Peters;27;2;1;1;2015-11-20 00:56;#40FF13
8;Gaby Peters;28;2;1;1;2015-11-20 00:57;#40FF13
8;Asiatin;29;3;28;28;2015-11-20 00:58;#40FF13
8;Yuminae;30;2;1;1;2015-11-20 00:59;#40FF13
8;AmericanStillnumberone;31;2;1;1;2015-11-20 01:00;#40FF13
8;karlehmann;32;1;32;9999;2015-11-20 01:01;#40FF13
8;heiße Luft;33;2;32;32;2015-11-20 01:02;#40FF13
8;ichsagmal;34;3;33;33;2015-11-20 01:03;#40FF13
8;;35;1;35;9999;2015-11-20 01:04;#40FF13
8;Bambusratte;36;2;35;35;2015-11-20 01:05;#40FF13
8;Fremersberg;37;3;36;36;2015-11-20 01:06;#40FF13
8;Beli;38;2;35;35;2015-11-20 01:07;#40FF13
8;Klaus Meyer;39;3;38;38;2015-11-20 01:08;#40FF13
8;Maxi;40;1;40;9999;2015-11-20 01:09;#40FF13
8;Steuerzahler;41;2;40;40;2015-11-20 01:10;#40FF13
8;Antragsteller;42;3;41;41;2015-11-20 01:11;#40FF13
8;Postman23;43;3;41;41;2015-11-20 01:12;#40FF13
8;BallroomBlitz;44;2;40;40;2015-11-20 01:13;#40FF13
8;Sabine W.;45;1;45;9999;2015-11-20 01:14;#40FF13
8;Pat Riot;46;2;45;45;2015-11-20 01:15;#40FF13
8;Siegfried;47;1;47;9999;2015-11-20 01:16;#40FF13
8;pusteblume;48;2;47;47;2015-11-20 01:17;#40FF13
8;A. Meyer;49;1;49;9999;2015-11-20 01:18;#40FF13
8;Rue;50;2;49;49;2015-11-20 01:19;#40FF13
8;Guest;51;1;51;9999;2015-11-20 01:20;#40FF13
8;gamilon;52;1;52;9999;2015-11-20 01:21;#40FF13
8;Susi30;53;2;52;52;2015-11-20 01:22;#40FF13
8;Chaostheoretiker;54;1;54;9999;2015-11-20 01:23;#40FF13
8;Bente;55;2;54;54;2015-11-20 01:24;#40FF13
8;Politik(er)wechsel jetzt;56;3;55;55;2015-11-20 01:25;#40FF13
8;Hanna;57;4;56;56;2015-11-20 01:26;#40FF13
8;Dolores Turner;58;5;57;57;2015-11-20 01:27;#40FF13
8;Chrismed;59;6;58;58;2015-11-20 01:28;#40FF13
8;;60;3;55;55;2015-11-20 01:29;#40FF13
8;pusteblume;61;4;60;60;2015-11-20 01:30;#40FF13
8;wirtschaft;62;3;55;55;2015-11-20 01:31;#40FF13
8;Cunctator;63;4;62;62;2015-11-20 01:32;#40FF13
8;Armin;64;4;62;62;2015-11-20 01:33;#40FF13
8;Bente;65;4;62;62;2015-11-20 01:34;#40FF13
8;NK;66;2;54;54;2015-11-20 01:35;#40FF13
8;Johanna Lens;67;3;66;66;2015-11-20 01:36;#40FF13
8;;68;2;54;54;2015-11-20 01:37;#40FF13
8;Chaostheoretiker;69;3;68;68;2015-11-20 01:38;#40FF13
8;Johann;70;4;69;69;2015-11-20 01:39;#40FF13
8;Gaby Peters;71;4;69;69;2015-11-20 01:40;#40FF13
8;Marc;72;4;69;69;2015-11-20 01:41;#40FF13
8;Pat Riot;73;5;72;72;2015-11-20 01:42;#40FF13
8;Heiliger Bimbam;74;4;69;69;2015-11-20 01:43;#40FF13
8;frieske;75;2;54;54;2015-11-20 01:44;#40FF13
8;Pat Riot;76;3;75;75;2015-11-20 01:45;#40FF13
8;ReinerUmfall;77;3;75;75;2015-11-20 01:46;#40FF13
8;Ena, Tochter von Landogar;78;2;54;54;2015-11-20 01:47;#40FF13
8;Alfred Tetzlaff;79;2;54;54;2015-11-20 01:48;#40FF13
8;Pat Riot;80;3;79;79;2015-11-20 01:49;#40FF13
8;Gast;81;1;81;9999;2015-11-20 01:50;#40FF13
8;HansC1;82;2;81;81;2015-11-20 01:51;#40FF13
8;Ron;83;2;81;81;2015-11-20 01:52;#40FF13
8;;84;1;84;9999;2015-11-20 01:53;#40FF13
8;Gaby Peters;85;2;84;84;2015-11-20 01:54;#40FF13
8;A. Meyer;86;1;86;9999;2015-11-20 01:55;#40FF13
8;robin3485;87;2;86;86;2015-11-20 01:56;#40FF13
8;Wieland;88;1;88;9999;2015-11-20 01:57;#40FF13
8;Wieland;89;1;89;9999;2015-11-20 01:58;#40FF13
8;Wieland;90;1;90;9999;2015-11-20 01:59;#40FF13
8;Albert Pike;91;1;91;9999;2015-11-20 02:00;#40FF13
8;Wieland;92;1;92;9999;2015-11-20 02:01;#40FF13
8;Dr. Dre…;93;1;93;9999;2015-11-20 02:02;#40FF13
8;Phileas Fogg;94;1;94;9999;2015-11-20 02:03;#40FF13
8;ClaudiaB;95;1;95;9999;2015-11-20 02:04;#40FF13
8;theo;96;2;95;95;2015-11-20 02:05;#40FF13
8;BallroomBlitz;97;2;95;95;2015-11-20 02:06;#40FF13
8;Diskutator2;98;1;98;9999;2015-11-20 02:07;#40FF13
8;pete110;99;1;99;9999;2015-11-20 02:08;#40FF13
8;ichweissauchwas;100;2;99;99;2015-11-20 02:09;#40FF13
8;lutzberlin;101;1;101;9999;2015-11-20 02:10;#40FF13
8;Rue;102;1;102;9999;2015-11-20 02:11;#40FF13
8;Armbruster;103;1;103;9999;2015-11-20 02:12;#40FF13
8;Rue;104;2;103;103;2015-11-20 02:13;#40FF13
8;;105;1;105;9999;2015-11-20 02:14;#40FF13
8;Stefan;106;2;105;105;2015-11-20 02:15;#40FF13
8;nilux;107;2;105;105;2015-11-20 02:16;#40FF13
8;GastkommentatorIn;108;1;108;9999;2015-11-20 02:17;#40FF13
8;UlrichZ;109;1;109;9999;2015-11-20 02:18;#40FF13
8;Gast;110;1;110;9999;2015-11-20 02:19;#40FF13
8;RW;111;1;111;9999;2015-11-20 02:20;#40FF13
8;Gordon;112;2;111;111;2015-11-20 02:21;#40FF13
8;ertert;113;1;113;9999;2015-11-20 02:22;#40FF13
8;Rita;114;2;113;113;2015-11-20 02:23;#40FF13
8;Beobachtender;115;1;115;9999;2015-11-20 02:24;#40FF13
8;Martha;116;1;116;9999;2015-11-20 02:25;#40FF13
8;Remo Ved;117;2;116;116;2015-11-20 02:26;#40FF13
8;Susi30;118;3;117;117;2015-11-20 02:27;#40FF13
8;Remo Ved;119;4;118;118;2015-11-20 02:28;#40FF13
8;nordjoker;120;1;120;9999;2015-11-20 02:29;#40FF13
8;WernerBöring;121;1;121;9999;2015-11-20 02:30;#40FF13
8;roxton;122;1;122;9999;2015-11-20 02:31;#40FF13
8;tiptop;123;2;122;122;2015-11-20 02:32;#40FF13
8;Kausalstratege;124;1;124;9999;2015-11-20 02:33;#40FF13
8;Ecki;125;1;125;9999;2015-11-20 02:34;#40FF13
8;René Woitschek;126;1;126;9999;2015-11-20 02:35;#40FF13
8;Pegasus;127;1;127;9999;2015-11-20 02:36;#40FF13
8;Illuminat;128;1;128;9999;2015-11-20 02:37;#40FF13
8;blub;129;2;128;128;2015-11-20 02:38;#40FF13
8;VerySeriousSam;130;1;130;9999;2015-11-20 02:39;#40FF13
8;Angelo Valone;131;1;131;9999;2015-11-20 02:40;#40FF13
8;Alex;132;1;132;9999;2015-11-20 02:41;#40FF13
8;Gordon;133;1;133;9999;2015-11-20 02:42;#40FF13
8;Jesse Pinkman;134;1;134;9999;2015-11-20 02:43;#40FF13
8;Spieltheoretiker;135;1;135;9999;2015-11-20 02:44;#40FF13
8;TischleindeckDich;136;1;136;9999;2015-11-20 02:45;#40FF13
8;Frusti;137;1;137;9999;2015-11-20 02:46;#40FF13
8;Tylor_Durden;138;1;138;9999;2015-11-20 02:47;#40FF13
8;DiSo;139;1;139;9999;2015-11-20 02:48;#40FF13
8;Demokrit;140;1;140;9999;2015-11-20 02:49;#40FF13
8;Heike Pachner;141;1;141;9999;2015-11-20 02:50;#40FF13
8;Gerechtigkeit;142;1;142;9999;2015-11-20 02:51;#40FF13
8;tiptop;143;1;143;9999;2015-11-20 02:52;#40FF13
8;Gerechtigkeit;144;1;144;9999;2015-11-20 02:53;#40FF13
8;Ex CDU Stammwähler;145;1;145;9999;2015-11-20 02:54;#40FF13
8;sweetjasmin;146;1;146;9999;2015-11-20 02:55;#40FF13
8;Wir schaffen das!;147;1;147;9999;2015-11-20 02:56;#40FF13
8;Tja;148;2;147;147;2015-11-20 02:57;#40FF13
8;Gast;149;2;147;147;2015-11-20 02:58;#40FF13
8;Thomas;150;1;150;9999;2015-11-20 02:59;#40FF13
8;FreiheitImHerzen;151;1;151;9999;2015-11-20 03:00;#40FF13
8;Wolfgang Krause;152;1;152;9999;2015-11-20 03:01;#40FF13
8;Experte für alles und nix;153;1;153;9999;2015-11-20 03:02;#40FF13
8;Powerkraut;154;1;154;9999;2015-11-20 03:03;#40FF13
8;Hutzi Butzi;155;1;155;9999;2015-11-20 03:04;#40FF13
8;so-sehe-ich-das;156;1;156;9999;2015-11-20 03:05;#40FF13
8;Armin;157;1;157;9999;2015-11-20 03:06;#40FF13
8;NaseAnPoMEXIKO;158;1;158;9999;2015-11-20 03:07;#40FF13
8;andis;159;1;159;9999;2015-11-20 03:08;#40FF13
8;Armin;160;1;160;9999;2015-11-20 03:09;#40FF13
8;;161;1;161;9999;2015-11-20 03:10;#40FF13
8;Susi30;162;2;161;161;2015-11-20 03:11;#40FF13
8;bxgti;163;2;161;161;2015-11-20 03:12;#40FF13
8;Julia_1;164;1;164;9999;2015-11-20 03:13;#40FF13
8;Voltaire&Co;165;1;165;9999;2015-11-20 03:14;#40FF13
8;bxgti;166;2;165;165;2015-11-20 03:15;#40FF13
8;;167;1;167;9999;2015-11-20 03:16;#40FF13
8;pusteblume;168;2;167;167;2015-11-20 03:17;#40FF13
