Artikelnr;acc_name;Gesamtnr;row;ausg_nr;beznr_komm;relative_date;color;quality;row_two;ukey
1;WurzelElement;111111;0;1;999;2015-11-20 00:29;#8E9296;100;2;0
1;EinLeser69;1;1;1;9999;2015-11-20 00:30;#40FF13;14;3;1
1;H_o_C;2;2;1;1;2015-11-20 00:31;#40FF13;22;4;2
1;ChepCon;3;2;1;1;2015-11-20 00:32;#40FF13;1;4;3
1;MisterMankind;4;3;2;2;2015-11-20 00:33;#40FF13;22;5;4
1;H_o_C;5;4;4;4;2015-11-20 00:34;#40FF13;0;6;5
1;MisterMankind;6;5;5;5;2015-11-20 00:35;#40FF13;1;7;6
1;Rubinsky;7;3;2;2;2015-11-20 00:36;#40FF13;29;5;7
1;ChepCon;8;3;2;2;2015-11-20 00:37;#40FF13;22;5;8
1;TheSmilingBandit;9;3;3;3;2015-11-20 00:38;#40FF13;7;5;9
1;meinungsfreizeit;10;2;1;1;2015-11-20 00:39;#40FF13;-4;4;10
1;EinLeser69;11;3;2;2;2015-11-20 00:40;#40FF13;3;5;11
1;zeit looser;12;2;1;1;2015-11-20 00:41;#40FF13;3;4;12
1;atech;13;2;1;1;2015-11-20 00:42;#40FF13;1;4;13
1;rubikon64;14;2;1;1;2015-11-20 00:43;#40FF13;3;4;14
1;AgainstBigotry;15;3;2;2;2015-11-20 00:44;#40FF13;29;5;15
1;XYZA;16;2;1;1;2015-11-20 00:45;#40FF13;22;4;16
1;P. Wimsey;17;3;2;2;2015-11-20 00:46;#40FF13;7;5;17
1;Martina Kairo;18;2;1;1;2015-11-20 00:47;#40FF13;29;4;18
1;H_o_C;19;4;15;15;2015-11-20 00:48;#40FF13;7;6;19
1;rubikon64;20;4;11;11;2015-11-20 00:49;#40FF13;10;6;20
1;Max Artur;21;3;2;2;2015-11-20 00:50;#40FF13;22;5;21
1;Alfredo Garcia;22;3;3;3;2015-11-20 00:51;#40FF13;0;5;22
1;Rotomon;23;4;11;11;2015-11-20 00:52;#40FF13;21;6;23
1;MarianneSchulz;24;2;1;1;2015-11-20 00:53;#40FF13;36;4;24
1;pattso;25;2;1;1;2015-11-20 00:54;#40FF13;10;4;25
1;Belair;26;4;17;17;2015-11-20 00:55;#40FF13;18;6;26
1;ChepCon;27;4;22;22;2015-11-20 00:56;#40FF13;14;6;27
1;EinLeser69;28;5;23;23;2015-11-20 00:57;#40FF13;1;7;28
1;DerIrrste;29;3;3;3;2015-11-20 00:58;#40FF13;0;5;29
1;EinLeser69;30;3;24;24;2015-11-20 00:59;#40FF13;1;5;30
1;herbert nau;31;3;18;18;2015-11-20 01:00;#40FF13;14;5;31
1;dertagdanach;32;2;1;1;2015-11-20 01:01;#40FF13;21;4;32
1;gabriele b;33;5;27;27;2015-11-20 01:02;#40FF13;7;7;33
1;DavidXY;34;2;1;1;2015-11-20 01:03;#40FF13;0;4;34
1;keats;35;3;10;10;2015-11-20 01:04;#40FF13;7;5;35
1;petuhtante;36;2;1;1;2015-11-20 01:05;#40FF13;18;4;36
1;Volker.B.;37;3;2;2;2015-11-20 01:06;#40FF13;3;5;37
1;Dromedaner;38;4;8;8;2015-11-20 01:07;#40FF13;22;6;38
1;fddsfdfdfd;39;2;1;1;2015-11-20 01:08;#40FF13;7;4;39
1;imagin_friend7;40;4;22;22;2015-11-20 01:09;#40FF13;3;6;40
1;fddsfdfdfd;41;4;11;11;2015-11-20 01:10;#40FF13;7;6;41
1;Bengurion62;42;3;2;2;2015-11-20 01:11;#40FF13;22;5;42
1;KotBegemot;43;2;1;1;2015-11-20 01:12;#40FF13;14;4;43
1;Alfredo Garcia;44;5;40;40;2015-11-20 01:13;#40FF13;8;7;44
1;OStFwaD;45;4;4;4;2015-11-20 01:14;#40FF13;29;6;45
1;Martina Kairo;46;4;31;31;2015-11-20 01:15;#40FF13;14;6;46
1;ugm2000;47;4;11;11;2015-11-20 01:16;#40FF13;17;6;47
1;H_o_C;48;5;45;45;2015-11-20 01:17;#40FF13;1;7;48
1;Cherrmann;49;2;1;1;2015-11-20 01:18;#40FF13;22;4;49
1;dertagdanach;50;4;30;30;2015-11-20 01:19;#40FF13;0;6;50
1;max-italia;51;5;23;23;2015-11-20 01:20;#40FF13;7;7;51
1;Bitb‰ndiger;52;3;16;16;2015-11-20 01:21;#40FF13;22;5;52
1;JMDGF;53;3;14;14;2015-11-20 01:22;#40FF13;3;5;53
1;Nur mal nebenbei bemerkt;54;4;11;11;2015-11-20 01:23;#40FF13;14;6;54
1;Lias Bledt;55;5;23;23;2015-11-20 01:24;#40FF13;15;7;55
1;Rotomon;56;6;28;28;2015-11-20 01:25;#40FF13;1;8;56
1;HGF;57;2;1;1;2015-11-20 01:26;#40FF13;14;4;57
1;Rotomon;58;6;55;55;2015-11-20 01:27;#40FF13;7;8;58
1;mer.de;59;3;3;3;2015-11-20 01:28;#40FF13;15;5;59
1;James Euro;60;4;15;15;2015-11-20 01:29;#40FF13;7;6;60
1;Babanus;61;2;1;1;2015-11-20 01:30;#40FF13;14;4;61
1;Steklo;62;2;1;1;2015-11-20 01:31;#40FF13;1;4;62
1;XYZA;63;4;52;52;2015-11-20 01:32;#40FF13;22;6;63
1;mer.de;64;4;11;11;2015-11-20 01:33;#40FF13;7;6;64
1;Bitb‰ndiger;65;5;63;63;2015-11-20 01:34;#40FF13;18;7;65
1;MisterMankind;66;5;45;45;2015-11-20 01:35;#40FF13;14;7;66
1;Ladoga1;67;1;67;9999;2015-11-20 01:36;#40FF13;14;3;67
1;sabrib;68;2;67;67;2015-11-20 01:37;#40FF13;7;4;68
1;OutOfTime;69;2;67;67;2015-11-20 01:38;#40FF13;0;4;69
1;gschmbetreu;70;3;69;69;2015-11-20 01:39;#40FF13;7;5;70
1;Ladoga1;71;3;69;69;2015-11-20 01:40;#40FF13;7;5;71
1;HamunShadaras;72;2;67;67;2015-11-20 01:41;#40FF13;1;4;72
1;IhreAntwort;73;4;70;70;2015-11-20 01:42;#40FF13;7;6;73
1;IhreAntwort;74;3;69;69;2015-11-20 01:43;#40FF13;7;5;74
1;ChepCon;75;2;67;67;2015-11-20 01:44;#40FF13;10;4;75
1;Milchgeld;76;2;67;67;2015-11-20 01:45;#40FF13;7;4;76
1;IhreAntwort;77;3;75;75;2015-11-20 01:46;#40FF13;10;5;77
1;Rubinsky;78;2;67;67;2015-11-20 01:47;#40FF13;0;4;78
1;gschmbetreu;79;5;73;73;2015-11-20 01:48;#40FF13;7;7;79
1;AgainstBigotry;80;2;67;67;2015-11-20 01:49;#40FF13;3;4;80
1;G.R.Mane;81;4;70;70;2015-11-20 01:50;#40FF13;7;6;81
1;Milchgeld;82;3;80;80;2015-11-20 01:51;#40FF13;7;5;82
1;Nizze;83;3;75;75;2015-11-20 01:52;#40FF13;0;5;83
1;ChepCon;84;4;77;77;2015-11-20 01:53;#40FF13;-7;6;84
1;M.Balinowski;85;3;80;80;2015-11-20 01:54;#40FF13;15;5;85
1;Ladoga1;86;3;78;78;2015-11-20 01:55;#40FF13;-6;5;86
1;XYZA;87;3;75;75;2015-11-20 01:56;#40FF13;23;5;87
1;phergoph;88;2;67;67;2015-11-20 01:57;#40FF13;1;4;88
1;Ladoga1;89;5;84;84;2015-11-20 01:58;#40FF13;14;7;89
1;Ladoga1;90;4;87;87;2015-11-20 01:59;#40FF13;1;6;90
1;XYZA;91;5;90;90;2015-11-20 02:00;#40FF13;7;7;91
1;ignotant;92;3;72;72;2015-11-20 02:01;#40FF13;0;5;92
1;Ladoga1;93;6;91;91;2015-11-20 02:02;#40FF13;3;8;93
1;ChepCon;94;6;89;89;2015-11-20 02:03;#40FF13;15;8;94
1;Belair;95;2;67;67;2015-11-20 02:04;#40FF13;0;4;95
1;no-panic;96;3;72;72;2015-11-20 02:05;#40FF13;7;5;96
1;H_o_C;97;4;96;96;2015-11-20 02:06;#40FF13;15;6;97
1;pattso;98;2;67;67;2015-11-20 02:07;#40FF13;29;4;98
1;no-panic;99;5;97;97;2015-11-20 02:08;#40FF13;1;7;99
1;Heribert Pilch;100;3;95;95;2015-11-20 02:09;#40FF13;-6;5;100
1;LuluLiebe;101;2;67;67;2015-11-20 02:10;#40FF13;-4;4;101
1;Knopfauge;102;7;94;94;2015-11-20 02:11;#40FF13;7;9;102
1;Wiederk‰u;103;4;71;71;2015-11-20 02:12;#40FF13;-13;6;103
1;kaputtmacher;104;2;67;67;2015-11-20 02:13;#40FF13;15;4;104
1;hajona;105;3;80;80;2015-11-20 02:14;#40FF13;1;5;105
1;OStFwaD;106;4;71;71;2015-11-20 02:15;#40FF13;7;6;106
1;47_weiblich;107;6;99;99;2015-11-20 02:16;#40FF13;0;8;107
1;Kiretep;108;3;104;104;2015-11-20 02:17;#40FF13;1;5;108
1;Cherrmann;109;3;72;72;2015-11-20 02:18;#40FF13;0;5;109
1;Albrecht Zweistein;110;4;70;70;2015-11-20 02:19;#40FF13;0;6;110
1;ZweiundZweigleichVier;111;2;67;67;2015-11-20 02:20;#40FF13;7;4;111
1;SinaSina;112;4;92;92;2015-11-20 02:21;#40FF13;0;6;112
1;Hereas;113;3;101;101;2015-11-20 02:22;#40FF13;36;5;113
1;spiderfly;114;6;99;99;2015-11-20 02:23;#40FF13;18;8;114
1;HGF;115;3;69;69;2015-11-20 02:24;#40FF13;1;5;115
1;mer.de;116;3;69;69;2015-11-20 02:25;#40FF13;3;5;116
1;LuluLiebe;117;1;117;9999;2015-11-20 02:26;#40FF13;7;3;117
1;OutOfTime;118;2;117;117;2015-11-20 02:27;#40FF13;14;4;118
1;sabrib;119;2;117;117;2015-11-20 02:28;#40FF13;0;4;119
1;Ausgemerkelt_;120;2;117;117;2015-11-20 02:29;#40FF13;7;4;120
1;pattso;121;2;117;117;2015-11-20 02:30;#40FF13;0;4;121
1;maweiﬂdatnich;122;1;122;9999;2015-11-20 02:31;#40FF13;7;3;122
1;Piou;123;2;122;122;2015-11-20 02:32;#40FF13;10;4;123
1;gschmbetreu;124;2;122;122;2015-11-20 02:33;#40FF13;3;4;124
1;Ladoga1;125;3;124;124;2015-11-20 02:34;#40FF13;21;5;125
1;meinungsfreizeit;126;3;124;124;2015-11-20 02:35;#40FF13;-4;5;126
1;Dr Eric Turniers;127;3;124;124;2015-11-20 02:36;#40FF13;3;5;127
1;gschmbetreu;128;4;125;125;2015-11-20 02:37;#40FF13;3;6;128
1;Carnivor;129;3;124;124;2015-11-20 02:38;#40FF13;-4;5;129
1;ChepCon;130;4;126;126;2015-11-20 02:39;#40FF13;17;6;130
1;Viele Fragezeichen;131;3;124;124;2015-11-20 02:40;#40FF13;7;5;131
1;Rubinsky;132;2;122;122;2015-11-20 02:41;#40FF13;7;4;132
1;zeit looser;133;4;126;126;2015-11-20 02:42;#40FF13;0;6;133
1;HamunShadaras;134;4;125;125;2015-11-20 02:43;#40FF13;8;6;134
1;ChepCon;135;3;132;132;2015-11-20 02:44;#40FF13;-6;5;135
1;gschmbetreu;136;4;126;126;2015-11-20 02:45;#40FF13;10;6;136
1;zeit looser;137;3;132;132;2015-11-20 02:46;#40FF13;7;5;137
1;gschmbetreu;138;4;131;131;2015-11-20 02:47;#40FF13;-6;6;138
