Artikelnr;acc_name;Gesamtnr;row;ausg_nr;beznr_komm;relative_date;text;
1;EinLeser69;1;1;1;9999;2015-11-20 00:30;"Well that's what I call backbone, with so much headwind to the principles that are laid down in our Constitution. What should that mean with the ""upper limits""? Will wealso limit the other rights guaranteed by the Constitution via ""upper limits"" if it becomes too difficult? Thank you, Mrs Merkel, as a non-voter of you I have never thought of you in the last years of your chancellorship. Hats off!";
1;H_o_C;2;2;1;1;2015-11-20 00:31;I can only agree with that. Have also chosen in my life CDU. But slowly one must indeed pull the hat in front of Mrs. Merkel.And that seems to be the case nationwide somehow. hfj p://www.faz.net/aktuel...It's interesting, what kind of backing she has in the population.
1;ChepCon;3;2;1;1;2015-11-20 00:32;The Basic Law IS our constitution. The Art. 146 GG, which you referred to, regulates the procedure in which this constitution, called the Basic Law, could be superseded by another.;
1;MisterMankind;4;3;2;2;2015-11-20 00:33;Which the Germans would have to give. This will probably never happen.;
1;H_o_C;5;4;4;4;2015-11-20 00:34;Why should there be another constitution?Personally, I fi nd that the Basic Law is one of the best constitutions worldwide.;
1;MisterMankind;6;5;5;5;2015-11-20 00:35;This claim is evidenced by the entire legal literature wrong. Although Article 146 of the GG contains exciting and controversially discussed problems, it is completely unexplained that the GG represents the constitution of Germany. On request, I like to pick out evidence from the relevant comments.;
1;Rubinsky;7;3;2;2;2015-11-20 00:36;"Man, you should really deal with the matter before you make such a gossip.""The Basic Law (GG) is the constitution for the Federal Republic of Germany, which was approved by the Parliamentary Council, whose members had been elected by the state parliaments, on May 8, 1949, and approved by the Allies, based on a preamble, the fundamental rights The Basic Law defines the essential state system and value decisions and ranks higher than all other German legal norms. """;
1;ChepCon;8;3;2;2;2015-11-20 00:37;With the completion of the state unity of Germany on 3 October 1990 the basic law became by the sovereign and conscious decision of the German population to the all- German constitution.  The majority (it seems) is for the death penalty.However, the death penalty contradicts our constitution and our attachment to human rights. There are many such examples.Protecting the people from themselves also means protecting parts of the people from other parts. Sometimes worried citizens are demanding laws that would be massively discriminated against if decided. This is not recognized.And yes, one must rightly be afraid of the people's decision, that should also have the people. Therefore, we have representative democracy, but not the peoplebut in the context of the conditions this people guaranteed all the greatest freedom, which would be in danger (freedom) if everything would happen on referendums.;
1;TheSmilingBandit;9;3;3;3;2015-11-20 00:38;You must mark their posts with irony.;
1;meinungsfreizeit;10;2;1;1;2015-11-20 00:39;Backbone? Probably ... Altersstarrsinn!;
1;EinLeser69;11;3;2;2;2015-11-20 00:40;"You see, unfortunately, the people often have to be protected from themselves. I do not want to declare the people stupid"", yet they are often not ""qualified"" to consider the consequences of certain legislative changes that they would like to consider. If you gave the people the change in the law, it would change the law to become a single contradiction. To give an example";
1;zeit looser;12;2;1;1;2015-11-20 00:41;"@ reader Backbone or old age stubbornness? Aha, so probably ""Sumte"", 7: 1!";
1;atech;13;2;1;1;2015-11-20 00:42;@ EinLeser69: You say it!Your full agreement to your comment.;
1;rubikon64;14;2;1;1;2015-11-20 00:43;What does this have to do with backbone or principles? This was a folkloristic event where the CSU was able to release symbolically little steam. When it comes to the sausage, which are well behind Mu f j i again.And which principles does Merkel recognize? Your complete lack of principles? So that the picture of the humanity empire Germany is preserved, doing business with Erdogan?The only principle that Merkel knows is the preservation of power. Whether left or right, it does not matter. But it's great that you can iden- tify with an opportunist.;
1;AgainstBigotry;15;3;2;2;2015-11-20 00:44;"We have no constitution, but a constitutionRight, conspiracy theoretical nonsense. The Basic Law is not a constitution by name. It fulfills all criteria of a constitution from function and content.And yes, I am afraid of the decision of ""your people"".";
1;XYZA;16;2;1;1;2015-11-20 00:45;EinLeser69 # 1, Not someone, but the constitutional lawyer, Mr. Scholz, has other issues, especially with regard to the upper limit.hfj p://www.focus.de/polit...;
1;P. Wimsey;17;3;2;2;2015-11-20 00:46;Mr. Naidoo is here too?;
1;Martina Kairo;18;2;1;1;2015-11-20 00:47;Oehm ??? Backbone .. gentlemen you confused something? Mrs. Merkel always justifies it with her plan, her view, her opinion - so far so well! Forget about the principle - that is about our country, our future and our laws. Continue to the majority right - no matter for whom and whether it tastes a personal or not? If one keeps oneself personally in such a position, the predominant opinion / appeal or even rejections against each other? .. So this is not a backbone prove - but for me pure ignorance and stubbornness -in incomprehensibleAcceptance of their responsibility to the democracy, laws and obligations of our state. Point around.;
1;H_o_C;19;4;15;15;2015-11-20 00:48;Hear hear!Correctly, it should also be called the Federal Constitutional Court, ie BGgG ansta f j BVerfG.;
1;rubikon64;20;4;11;11;2015-11-20 00:49;What quali fi es for you to stand above the mob? Or. why are not the people in danger when there are representative elections and then parties such as the AfD or Left Party compete there?You may also like to admit that you lack a strong hand in Germany and would prefer to have some kind of elective emperorship. What you are leading here as a people, are not citizens, but subjects.;
1;Max Artur;21;3;2;2;2015-11-20 00:50;That's just winnowing, because the highest court in Germany is called how? Eben, Federal Constitutional Court.On the subject: Our constitution provides for a huge limitation of asylum law. If the GG is more valid than EU directives, ordinances or the binding international refugee convention, then there is no Aylanspruch for travelers from EU countries, ie for almost all, which would then have to go back into said EU countries under Article 16a GG.;
1;Alfredo Garcia;22;3;3;3;2015-11-20 00:51;I can only agree with that, I also voted CDU in my life, but in the meantime you have to take your hat off to Mrs. Merkel.Mrs. Merkel serves the delusions of a small radical, left ideological minority.It is acclaimed by people who have never (and never will) choose CDU in life. Most others only bang their heads.;
1;Rotomon;23;4;11;11;2015-11-20 00:52;Well, if you followed your arguments, probably a monarchy would be the best form of government. Since the people can not decide anything (is protected from themselves), can initiate any changes in the law and can then trigger any contradictions.At the same time, a lot of money is saved for the various parliaments and much worse than under Queen Merkel, it probably would not run. In addition, an average king would probably be better educated (given his life-long preparation for his job) and would have as many officials at his side as the government.But that's just not a real democracy, even what we do not have. In addition, Switzerland would be an unfree, impotent Moloch your argumentation. what some ofArguments already refuted.And let us take your example: If the overwhelming majority were for the death penalty and it were democratically determined, then it would have to be introduced. Because that's the people's will. If individual persons could then decide not to do this - for whatever reason - then it is not a national rule. Then we would be back at the cost and e ff ectivity point at the beginning of my contribution.But that's just my opinion and unfortunately it does not count that much in our system (see above).;
1;MarianneSchulz;24;2;1;1;2015-11-20 00:53;Bi f j e, only once really read the Basic Law, even if it is difficult. According to Art. 16aGG, which incidentally only applies to those who are persecuted for political reasons and NOT to war refugees and certainly not to poor refugees, less than 1.0% of newcomers currently have the right to asylum.h f j p: //www.stmas.bayern.d ...In that sense, it's not about upper limit versus constitution. But facts probably do not bother you.;
1;pattso;25;2;1;1;2015-11-20 00:54;Jo. My respect for Merkel is constantly increasing. It can analyze and increasingly proves stability. She has also learned and someone has successfully advised her in language. No talk of flood, flood and invasion. Nice factual.Since the NRW election, when she tried in vain to populism and made the EUR re expensive only more expensive, she has learned.;
1;Belair;26;4;17;17;2015-11-20 00:55;Your remark shows that you do not know anything about Naidoo;
1;ChepCon;27;4;22;22;2015-11-20 00:56;"If you read the article I link to in the Frankfurter Allgemeine Zeitung, you probably would not talk about ""a small, radical, left-wing ideological minority.""It's interesting that you want to close the whole population out of your own little world.It may be true to your inner compass that everything to the left of the AfD or Pegida must already be left-ideological, but reality still speaks a different language to your chagrin.You are welcome to shake your head. Is her right? But be careful that you do not get whiplash in the long run!";
1;EinLeser69;28;5;23;23;2015-11-20 00:57;Democracy has its limits, these start where the majority, a minority, is radically disadvantaged.Monarchy offers the citizen no right of participation. A representative democracy does that very well.If the citizen's right to co-determination over elections is not enough, he or she will find his / her way into politics. Furthermore, there are many in fl uences for the citizen, courts, petitions etc. etc.;
1;DerIrrste;29;3;3;3;2015-11-20 00:58;I can only agree with that, I also voted CDU in my life, but in the meantime you have to take your hat off to Mrs. Merkel.This is a symptom of the problem that Green Party voters and parts of Leftist voters are now praising Angela Merkel and the black-red coalition she leads. The voters of the parties that support this coalition see a majority in both my personal environment and in the polls namely very different ...;
1;EinLeser69;30;3;24;24;2015-11-20 00:59;"Her commentary is an example of the ""citizen"" who does not or does not know the laws enough.I do not like to teach you this. But if you think that Ms Merkel is acting against laws, then you have no legal recourse.";
1;herbert nau;31;3;18;18;2015-11-20 01:00;"Martina Cairo, ne f j written. And exciting that you claim to stand for the truth with ""dot around"".I am of the opinion that Angela Merkel represents our country and our future and rightly rejects the nonsensical demand from Bavaria for an upper limit! The stubborn appearance of Seehofer and Scheuer does not get better with the support of the targeted delegates. And the two of them do not even have the courage to demand a concrete number - that one would have to expect in the minimum, if a Seehofer subsequently stomps up so weakly verbally.";
1;dertagdanach;32;2;1;1;2015-11-20 01:01;"ad # 1 backbone I expect from a person who is entrusted with the government business of Germany. Nevertheless, you should compare the article wording and the actions of Mrs. Merkel.Quotation from the article: ""In particular through the cooperation with Turkey possibilities should be created, that people, who are in need of protection, can come to Europe, said Merkel.""I can only support this statement. Those in need of protection should be able to (legally) enter Europe.Stupid only that Mrs. Merkel (aware) confused people in need of protection with economic immigrants.Asylum seekers and refugees in terms of asylum law (GG, Dublin, Geneva) may not have upper limits.But for economic refugees.Here is dishonestly discussed by both sides.There Mrs. Merkel, who abuses the right to asylum in order to bring economic refugees into the country.Since Mr. Seehofer, who probably wants a general cap - also for asylum seekers and refugees in the sense of the asylum law - would like.Why should one take the hat off dishonesty? I can not understand her euphoria.";
1;gabriele b;33;5;27;27;2015-11-20 01:02;"another Allensbach survey says this: h f j p: //www.faz.net/aktuel ...Hans Magnus Enzensberger described the institute (Allensbach) as an oracle from Lake Constance in 1965, as he saw a ""structural similarity with the mantic practices of the Old World"". ""Democratic interviews are generally commissioned: The ignorant presents his offerings to the priests of Allensbach and asks his questions. The Pythia does not answer on her own, she passes the questions on toa higher authority, to the voice Go f j es, which in the jargon of the demos iscalled ""representative cross-section"". ""(Source Wiki)";
1;DavidXY;34;2;1;1;2015-11-20 01:03;Great.Now Merkel is admired for her stubbornness. No matter what comes out ....;
1;keats;35;3;10;10;2015-11-20 01:04;Insult because of the age? Unfortunately, says nothing good about you.;
1;petuhtante;36;2;1;1;2015-11-20 01:05;Newspeak: advice-resistant;
1;Volker.B.;37;3;2;2;2015-11-20 01:06;"I suppose they are right. Only who today would dare to change something essential?In 1948, Article 146 read:""This Basic Law loses its validity on the day on which a constitution adopted by the German people in free self-determination comes into force.""It assumed that at some point the Germans themselves would be allowed to decide on their constitution, for example, after a peace treaty. But there never was and will never be.";
1;Dromedaner;38;4;8;8;2015-11-20 01:07;"This is not historically correct what you write: The involved internationally recognized constitutional lawyer Carlo Schmid, speech before the parliamentary council on 8.9.1948:""... We have to confirm and ratify the Basic Law for the organization of the sovereign powers of the German people released today in a part of Germany confirming the Allied reservations. We do not have to make the constitution of Germany or West Germany, we have no state to build ... ""You can listen to the original speech on Youtube ...";
1;fddsfdfdfd;39;2;1;1;2015-11-20 01:08;Away. Bi ? e express yourself objectively and pay attention to an appropriate choice of words. The editorial o?ce / mak;
1;imagin_friend7;40;4;22;22;2015-11-20 01:09;It is acclaimed by people who have never (and never will) choose CDU in life. Most others only bang their heads.I have never voted black yellow or brown and am still for upper limit and fence. And before I sta f j left (I know! Sigh) AfD choose must still happen a lot;
1;fddsfdfdfd;41;4;11;11;2015-11-20 01:10;Away. Unobjective. The editorial o?ce / ges, C'est le provisoire qui dure - it is the provisional that has continuity.As paradoxical as the French idiom may be, it so clearly characterizes the fact that the Basic Law has become a constitutio;
1;Bengurion62;42;3;2;2;2015-11-20 01:11;Which constitutional principles do you mean? Art. 16a (2) Basic Law? Read biff e.;
1;KotBegemot;43;2;1;1;2015-11-20 01:12;I have never voted black yellow or brown and am still in favor of the upper limit and the fence, and before I choose left (I know, sigh) AfD, there are still some things that need to happen.Then you have already recognized correctly that a welfare state can not function with open borders. Either welfare state or open borders. Both together can not work. 7But I ask you: What else has to happen?;
1;Alfredo Garcia;44;5;40;40;2015-11-20 01:13;"@MisterMankind,Well roared lion but still wrong. 3Article 146 clearly implies the dependence of the period of validity of the GG, which is replaced by a constitution.Not without reason, this article is included in section XI under the heading: ""Transitional and final provisions"".The countries and their people living on the territory of the former GDR neverhave the opportunity to freely accept or reject this GG of 1949.It has never been published in these countries because of the political situation. I understand that these countries were not even represented in the Parliamentary Council.In this respect, the relevant section 2 of the preamble is questionable.The Art.1 of the Two-plus Four Treaty and also 2. are based on a constitution. Anyone who simply states succinctly today that the GG is the constitution of the Federal RepublicGermany, must answer the question of what sense it makes better under what aspects a constitution inArt. 146 was written down at all.";
1;OStFwaD;45;4;4;4;2015-11-20 01:14;"Dear Mr Nau, you may forgive me for not wanting to be caught between the arguments of the CDU and CSU. In addition, I will not commit the mistakes of our politicians - in particular, but not in general, by claiming to know the truth - Because just these facts and figures, in the context of daily visitors-unfortunately also the government nicht.Für me would be it only logical- ""in an overflowing bathtub"" - first turn off the tap and not just vehemently to determine how much water my house could continue to cope before it crashes together.";
1;Martina Kairo;46;4;31;31;2015-11-20 01:15;Do you actually believe in what you are writing? I really miss the words! Incomprehensible!;
1;ugm2000;47;4;11;11;2015-11-20 01:16;It is also possible to dispose of Art. 146 of the Basic Law.  he was only changed.In state law lectures was always said: Basic constitutional character.;
1;H_o_C;48;5;45;45;2015-11-20 01:17;Upper limit does not refer to asylum described in the GG but the Geneva refugee agreement. And there you could if wanted ..;
1;Cherrmann;49;2;1;1;2015-11-20 01:18;"ad # 1.29 ""I do not want to teach you this, but if you think that Ms. Merkel is against laws, then you have no legal recourse.""This is currently read more often.Question: What changes a (probably successful) lawsuit against Merkel's actions? The ""refugees"" are already there, in Germany, traveling in Europe.Here only a backwardness and a departure from wrongasylum policy helps. At the embassy of Merkel even a court verdict does not change anything.You probably should know why I think your lines are pretty overblown.";
1;dertagdanach;50;4;30;30;2015-11-20 01:19;Article 1 of our constitution protects human dignity, thus prohibiting the death penalty. Politics (government + parliaments) must abide by the Basic Law. If we have plebiscites, their results should only be implemented within the framework of the constitution.With the constitution, we deliberately set our fundamental rights over the arbitrariness of the people's will.That's a good thing, because otherwise we would quickly get the death penalty and the state would become a murderer of innocents - see US statistics.;
1;max-italia;51;5;23;23;2015-11-20 01:20;"The constitutional lawyer Scholz is in this function openly "" anyone "".In the linked Focus article it is indeed long and broad - and most likely quite - on the legal basis of asylum law (Article 16a GG), but does not mention that the war refugees, for lack of ""political persecution"" not under the asylum law, but fall under the Geneva Refugee Convention, a completely different, international legal basis.To Dublin III, he overlooks essence.  he claims:If an asylum seeker from another member state of the European Union comes to Germany, it is due to the treaty of Dublin in the other member state.Wrong: Article 17 of the relevant EU Regulation 604/2013 grants each member state wide discretionary grounds for its own jurisdiction .Weak performance for a constitutional lawyer, Prof. Scholz.";
